,Team_1,Team_2,Winner,Margin,Ground,Match Date
78,Sri Lanka,South Africa,Sri Lanka,8 wickets,Colombo (SSC),"Jul 11, 2000"
79,West Indies,Zimbabwe,Zimbabwe,70 runs,Canterbury,"Jul 11, 2000"
80,Pakistan,South Africa,South Africa,7 wickets,Colombo (SSC),"Jul 12, 2000"
81,England,Zimbabwe,England,8 wickets,Manchester,"Jul 13, 2000"
82,Sri Lanka,South Africa,Sri Lanka,30 runs,Colombo (RPS),"Jul 14, 2000"
83,England,West Indies,England,10 wickets,Chester-le-Street,"Jul 15, 2000"
84,West Indies,Zimbabwe,Zimbabwe,6 wickets,Chester-le-Street,"Jul 16, 2000"
85,England,Zimbabwe,England,52 runs,Birmingham,"Jul 18, 2000"
86,England,West Indies,West Indies,3 runs,Nottingham,"Jul 20, 2000"
87,England,Zimbabwe,England,6 wickets,Lord's,"Jul 22, 2000"
88,Australia,South Africa,Australia,94 runs,Melbourne (Docklands),"Aug 16, 2000"
89,Australia,South Africa,tied,-,Melbourne (Docklands),"Aug 18, 2000"
90,Australia,South Africa,South Africa,8 runs,Melbourne (Docklands),"Aug 20, 2000"
91,New Zealand,Pakistan,Pakistan,12 runs,Singapore,"Aug 20, 2000"
92,Pakistan,South Africa,Pakistan,28 runs,Singapore,"Aug 23, 2000"
93,New Zealand,South Africa,South Africa,8 wickets,Singapore,"Aug 25, 2000"
94,Pakistan,South Africa,South Africa,93 runs,Singapore,"Aug 27, 2000"
95,Zimbabwe,New Zealand,New Zealand,7 wickets,Harare,"Sep 27, 2000"
96,Zimbabwe,New Zealand,Zimbabwe,21 runs,Bulawayo,"Sep 30, 2000"
97,Zimbabwe,New Zealand,Zimbabwe,6 wickets,Bulawayo,"Oct 1, 2000"
98,Kenya,India,India,8 wickets,Nairobi (Gym),"Oct 3, 2000"
99,Sri Lanka,West Indies,Sri Lanka,108 runs,Nairobi (Gym),"Oct 4, 2000"
100,Bangladesh,England,England,8 wickets,Nairobi (Gym),"Oct 5, 2000"
101,Australia,India,India,20 runs,Nairobi (Gym),"Oct 7, 2000"
102,Pakistan,Sri Lanka,Pakistan,9 wickets,Nairobi (Gym),"Oct 8, 2000"
103,New Zealand,Zimbabwe,New Zealand,64 runs,Nairobi (Gym),"Oct 9, 2000"
104,England,South Africa,South Africa,8 wickets,Nairobi (Gym),"Oct 10, 2000"
105,New Zealand,Pakistan,New Zealand,4 wickets,Nairobi (Gym),"Oct 11, 2000"
106,India,South Africa,India,95 runs,Nairobi (Gym),"Oct 13, 2000"
107,India,New Zealand,New Zealand,4 wickets,Nairobi (Gym),"Oct 15, 2000"
108,India,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Oct 20, 2000"
