,Team_1,Team_2,Winner,Margin,Ground,Match Date
336,Australia,Pakistan,Australia,224 runs,Nairobi (Gym),"Aug 30, 2002"
337,Kenya,Pakistan,Pakistan,7 wickets,Nairobi (Gym),"Sep 1, 2002"
338,Kenya,Australia,Australia,8 wickets,Nairobi (Gym),"Sep 2, 2002"
339,Australia,Pakistan,Australia,9 wickets,Nairobi (Gym),"Sep 4, 2002"
340,Kenya,Australia,Australia,5 wickets,Nairobi (Gym),"Sep 5, 2002"
341,Australia,Pakistan,no result,-,Nairobi (Gym),"Sep 7, 2002"
342,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Colombo (RPS),"Sep 12, 2002"
343,South Africa,West Indies,South Africa,2 wickets,Colombo (SSC),"Sep 13, 2002"
344,India,Zimbabwe,India,14 runs,Colombo (RPS),"Sep 14, 2002"
345,Australia,New Zealand,Australia,164 runs,Colombo (SSC),"Sep 15, 2002"
346,Sri Lanka,Netherlands,Sri Lanka,206 runs,Colombo (RPS),"Sep 16, 2002"
347,Kenya,West Indies,West Indies,29 runs,Colombo (SSC),"Sep 17, 2002"
348,England,Zimbabwe,England,108 runs,Colombo (RPS),"Sep 18, 2002"
349,Australia,Bangladesh,Australia,9 wickets,Colombo (SSC),"Sep 19, 2002"
350,Kenya,South Africa,South Africa,176 runs,Colombo (RPS),"Sep 20, 2002"
351,Netherlands,Pakistan,Pakistan,9 wickets,Colombo (SSC),"Sep 21, 2002"
352,England,India,India,8 wickets,Colombo (RPS),"Sep 22, 2002"
353,Bangladesh,New Zealand,New Zealand,167 runs,Colombo (SSC),"Sep 23, 2002"
354,India,South Africa,India,10 runs,Colombo (RPS),"Sep 25, 2002"
355,Sri Lanka,Australia,Sri Lanka,7 wickets,Colombo (RPS),"Sep 27, 2002"
356,Sri Lanka,India,no result,-,Colombo (RPS),"Sep 29, 2002"
357,Sri Lanka,India,no result,-,Colombo (RPS),"Sep 30, 2002"
358,South Africa,Bangladesh,South Africa,168 runs,Potchefstroom,"Oct 3, 2002"
359,South Africa,Bangladesh,South Africa,10 wickets,Benoni,"Oct 6, 2002"
360,South Africa,Bangladesh,South Africa,7 wickets,Kimberley,"Oct 9, 2002"
361,India,West Indies,West Indies,4 wickets,Jamshedpur,"Nov 6, 2002"
362,India,West Indies,West Indies,7 wickets,Nagpur,"Nov 9, 2002"
363,India,West Indies,India,81 runs,Rajkot,"Nov 12, 2002"
364,India,West Indies,India,5 wickets,Ahmedabad,"Nov 15, 2002"
365,India,West Indies,West Indies,5 wickets,Vadodara,"Nov 18, 2002"
366,India,West Indies,India,3 wickets,Jodhpur,"Nov 21, 2002"
367,Zimbabwe,Pakistan,Pakistan,7 runs,Bulawayo,"Nov 23, 2002"
368,India,West Indies,West Indies,135 runs,Vijayawada,"Nov 24, 2002"
369,Zimbabwe,Pakistan,Pakistan,104 runs,Bulawayo,"Nov 24, 2002"
370,Zimbabwe,Pakistan,Pakistan,48 runs,Harare,"Nov 27, 2002"
371,South Africa,Sri Lanka,South Africa,6 wickets,Johannesburg,"Nov 27, 2002"
372,Bangladesh,West Indies,no result,-,Chattogram,"Nov 29, 2002"
373,South Africa,Sri Lanka,South Africa,177 runs,Centurion,"Nov 29, 2002"
374,Zimbabwe,Pakistan,Pakistan,8 wickets,Harare,"Nov 30, 2002"
375,Zimbabwe,Pakistan,Pakistan,70 runs,Harare,"Dec 1, 2002"
376,South Africa,Sri Lanka,Sri Lanka,7 wickets,Benoni,"Dec 1, 2002"
377,Bangladesh,West Indies,West Indies,84 runs,Dhaka,"Dec 2, 2002"
378,Bangladesh,West Indies,West Indies,86 runs,Dhaka,"Dec 3, 2002"
379,South Africa,Sri Lanka,South Africa,8 wickets,Kimberley,"Dec 4, 2002"
380,South Africa,Sri Lanka,South Africa,6 wickets,Bloemfontein,"Dec 6, 2002"
381,Zimbabwe,Kenya,no result,-,Harare,"Dec 8, 2002"
382,South Africa,Pakistan,South Africa,132 runs,Durban,"Dec 8, 2002"
383,Zimbabwe,Kenya,Zimbabwe,47 runs,Kwekwe,"Dec 11, 2002"
384,South Africa,Pakistan,Pakistan,182 runs,Gqeberha,"Dec 11, 2002"
385,Australia,England,Australia,7 wickets,Sydney,"Dec 13, 2002"
386,South Africa,Pakistan,South Africa,62 runs,East London,"Dec 13, 2002"
387,Australia,England,Australia,89 runs,Melbourne,"Dec 15, 2002"
388,Zimbabwe,Kenya,Zimbabwe,9 wickets,Bulawayo,"Dec 15, 2002"
389,South Africa,Pakistan,South Africa,9 wickets,Paarl,"Dec 16, 2002"
390,England,Sri Lanka,England,43 runs,Brisbane,"Dec 17, 2002"
391,South Africa,Pakistan,South Africa,34 runs,Cape Town,"Dec 18, 2002"
392,England,Sri Lanka,England,95 runs,Perth,"Dec 20, 2002"
393,Australia,Sri Lanka,Australia,142 runs,Perth,"Dec 22, 2002"
394,New Zealand,India,New Zealand,3 wickets,Auckland,"Dec 26, 2002"
395,New Zealand,India,New Zealand,35 runs,Napier,"Dec 29, 2002"
396,New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003"
397,New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003"
398,New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003"
399,Australia,Sri Lanka,Sri Lanka,79 runs,Sydney,"Jan 9, 2003"
400,Australia,England,Australia,7 runs,Hobart,"Jan 11, 2003"
401,New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003"
402,England,Sri Lanka,Sri Lanka,31 runs,Sydney,"Jan 13, 2003"
403,New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003"
404,Australia,Sri Lanka,Australia,4 wickets,Brisbane,"Jan 15, 2003"
405,England,Sri Lanka,England,19 runs,Adelaide,"Jan 17, 2003"
406,Australia,England,Australia,4 wickets,Adelaide,"Jan 19, 2003"
407,Australia,Sri Lanka,Australia,9 wickets,Melbourne,"Jan 21, 2003"
408,Australia,England,Australia,10 wickets,Sydney,"Jan 23, 2003"
409,Australia,England,Australia,5 runs,Melbourne,"Jan 25, 2003"
410,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003"
411,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003"
412,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003"
413,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003"
414,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003"
415,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003"
416,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003"
417,New Zealand,West Indies,New Zealand,20 runs,Gqeberha,"Feb 13, 2003"
418,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003"
419,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003"
420,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003"
421,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003"
422,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003"
423,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003"
424,Bangladesh,West Indies,no result,-,Benoni,"Feb 18, 2003"
425,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003"
426,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003"
427,England,Namibia,England,55 runs,Gqeberha,"Feb 19, 2003"
428,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003"
429,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003"
430,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003"
431,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003"
432,India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003"
433,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003"
434,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003"
435,Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003"
436,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003"
437,England,India,India,82 runs,Durban,"Feb 26, 2003"
438,Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003"
439,South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003"
440,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003"
441,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003"
442,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003"
443,India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003"
444,Australia,England,Australia,2 wickets,Gqeberha,"Mar 2, 2003"
445,Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003"
446,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003"
447,South Africa,Sri Lanka,tied,-,Durban,"Mar 3, 2003"
448,Zimbabwe,Pakistan,no result,-,Bulawayo,"Mar 4, 2003"
449,Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003"
450,Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003"
451,India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003"
452,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003"
453,India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003"
454,Australia,New Zealand,Australia,96 runs,Gqeberha,"Mar 11, 2003"
455,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003"
456,India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003"
457,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003"
458,Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003"
459,Australia,Sri Lanka,Australia,48 runs,Gqeberha,"Mar 18, 2003"
460,India,Kenya,India,91 runs,Durban,"Mar 20, 2003"
461,Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003"
462,Pakistan,Zimbabwe,Pakistan,68 runs,Sharjah,"Apr 3, 2003"
463,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Apr 4, 2003"
464,Kenya,Zimbabwe,Zimbabwe,5 wickets,Sharjah,"Apr 5, 2003"
465,Kenya,Sri Lanka,Sri Lanka,129 runs,Sharjah,"Apr 6, 2003"
466,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Sharjah,"Apr 7, 2003"
467,Kenya,Pakistan,Pakistan,143 runs,Sharjah,"Apr 8, 2003"
468,Pakistan,Zimbabwe,Pakistan,8 wickets,Sharjah,"Apr 10, 2003"
469,Bangladesh,India,India,200 runs,Dhaka,"Apr 11, 2003"
470,India,South Africa,India,153 runs,Dhaka,"Apr 13, 2003"
471,Bangladesh,South Africa,South Africa,83 runs,Dhaka,"Apr 14, 2003"
472,Bangladesh,India,India,4 wickets,Dhaka,"Apr 16, 2003"
473,Bangladesh,South Africa,South Africa,93 runs,Dhaka,"Apr 17, 2003"
474,India,South Africa,South Africa,5 wickets,Dhaka,"Apr 18, 2003"
475,India,South Africa,no result,-,Dhaka,"Apr 21, 2003"
476,Sri Lanka,Pakistan,Pakistan,79 runs,Dambulla,"May 10, 2003"
477,New Zealand,Pakistan,New Zealand,7 wickets,Dambulla,"May 11, 2003"
478,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Dambulla,"May 13, 2003"
479,West Indies,Australia,Australia,2 runs,Kingston,"May 17, 2003"
480,Sri Lanka,Pakistan,Sri Lanka,12 runs,Dambulla,"May 18, 2003"
481,West Indies,Australia,Australia,8 wickets,Kingston,"May 18, 2003"
482,Sri Lanka,New Zealand,New Zealand,9 runs,Dambulla,"May 19, 2003"
483,New Zealand,Pakistan,Pakistan,22 runs,Dambulla,"May 20, 2003"
484,West Indies,Australia,Australia,25 runs,Gros Islet,"May 21, 2003"
485,New Zealand,Pakistan,New Zealand,4 wickets,Dambulla,"May 23, 2003"
486,West Indies,Australia,Australia,67 runs,Port of Spain,"May 24, 2003"
487,West Indies,Australia,West Indies,39 runs,Port of Spain,"May 25, 2003"
488,West Indies,Australia,West Indies,3 wickets,St George's,"May 30, 2003"
489,West Indies,Australia,West Indies,9 wickets,St George's,"Jun 1, 2003"
490,West Indies,Sri Lanka,Sri Lanka,55 runs,Bridgetown,"Jun 7, 2003"
491,West Indies,Sri Lanka,Sri Lanka,4 wickets,Bridgetown,"Jun 8, 2003"
492,West Indies,Sri Lanka,West Indies,6 wickets,Kingstown,"Jun 11, 2003"
493,England,Pakistan,Pakistan,2 wickets,Manchester,"Jun 17, 2003"
494,England,Pakistan,England,7 wickets,The Oval,"Jun 20, 2003"
495,England,Pakistan,England,4 wickets,Lord's,"Jun 22, 2003"
496,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham,"Jun 26, 2003"
497,England,South Africa,England,6 wickets,The Oval,"Jun 28, 2003"
498,South Africa,Zimbabwe,South Africa,46 runs,Canterbury,"Jun 29, 2003"
499,England,Zimbabwe,no result,-,Leeds,"Jul 1, 2003"
500,England,South Africa,South Africa,7 wickets,Manchester,"Jul 3, 2003"
501,South Africa,Zimbabwe,South Africa,9 wickets,Cardiff,"Jul 5, 2003"
502,England,Zimbabwe,England,6 wickets,Bristol,"Jul 6, 2003"
503,England,South Africa,England,4 wickets,Birmingham,"Jul 8, 2003"
504,South Africa,Zimbabwe,South Africa,7 wickets,Southampton,"Jul 10, 2003"
505,England,South Africa,England,7 wickets,Lord's,"Jul 12, 2003"
506,Australia,Bangladesh,Australia,8 wickets,Cairns,"Aug 2, 2003"
507,Australia,Bangladesh,Australia,9 wickets,Cairns,"Aug 3, 2003"
508,Australia,Bangladesh,Australia,112 runs,Darwin,"Aug 6, 2003"
509,Pakistan,Bangladesh,Pakistan,137 runs,Multan,"Sep 9, 2003"
510,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad,"Sep 12, 2003"
511,Pakistan,Bangladesh,Pakistan,42 runs,Lahore,"Sep 15, 2003"
512,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi,"Sep 18, 2003"
513,Pakistan,Bangladesh,Pakistan,58 runs,Karachi,"Sep 21, 2003"
514,Pakistan,South Africa,Pakistan,8 runs,Lahore,"Oct 3, 2003"
515,Pakistan,South Africa,Pakistan,42 runs,Lahore,"Oct 5, 2003"
516,Pakistan,South Africa,South Africa,13 runs,Faisalabad,"Oct 7, 2003"
517,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi,"Oct 10, 2003"
518,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi,"Oct 12, 2003"
519,India,New Zealand,no result,-,Chennai,"Oct 23, 2003"
520,India,Australia,India,37 runs,Gwalior,"Oct 26, 2003"
521,Australia,New Zealand,Australia,8 wickets,Faridabad,"Oct 29, 2003"
522,India,Australia,Australia,77 runs,Wankhede,"Nov 1, 2003"
523,Australia,New Zealand,Australia,2 wickets,Pune,"Nov 3, 2003"
524,India,New Zealand,New Zealand,4 wickets,Cuttack,"Nov 6, 2003"
525,Bangladesh,England,England,7 wickets,Chattogram,"Nov 7, 2003"
526,Australia,New Zealand,Australia,44 runs,Guwahati,"Nov 9, 2003"
527,Bangladesh,England,England,7 wickets,Dhaka,"Nov 10, 2003"
528,Bangladesh,England,England,7 wickets,Dhaka,"Nov 12, 2003"
529,India,Australia,Australia,61 runs,Bengaluru,"Nov 12, 2003"
530,India,New Zealand,India,145 runs,Hyderabad (Deccan),"Nov 15, 2003"
531,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla,"Nov 18, 2003"
532,India,Australia,Australia,37 runs,Eden Gardens,"Nov 18, 2003"
533,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo,"Nov 22, 2003"
534,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo,"Nov 23, 2003"
535,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare,"Nov 26, 2003"
536,Zimbabwe,West Indies,West Indies,72 runs,Harare,"Nov 29, 2003"
537,Pakistan,New Zealand,Pakistan,3 wickets,Lahore,"Nov 29, 2003"
538,Zimbabwe,West Indies,West Indies,8 wickets,Harare,"Nov 30, 2003"
539,Pakistan,New Zealand,Pakistan,124 runs,Lahore,"Dec 1, 2003"
540,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,"Dec 3, 2003"
541,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,"Dec 5, 2003"
542,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,"Dec 7, 2003"
543,New Zealand,Pakistan,New Zealand,4 wickets,Auckland,"Jan 3, 2004"
544,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,"Jan 7, 2004"
545,Australia,India,Australia,18 runs,Melbourne,"Jan 9, 2004"
546,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Jan 10, 2004"
547,Australia,Zimbabwe,Australia,99 runs,Sydney,"Jan 11, 2004"
548,New Zealand,Pakistan,New Zealand,8 wickets,Napier,"Jan 14, 2004"
549,India,Zimbabwe,India,7 wickets,Hobart,"Jan 14, 2004"
550,Australia,Zimbabwe,Australia,148 runs,Hobart,"Jan 16, 2004"
551,New Zealand,Pakistan,New Zealand,4 runs,Wellington,"Jan 17, 2004"
552,Australia,India,India,19 runs,Brisbane,"Jan 18, 2004"
553,India,Zimbabwe,India,24 runs,Brisbane,"Jan 20, 2004"
554,Australia,India,Australia,2 wickets,Sydney,"Jan 22, 2004"
555,India,Zimbabwe,India,3 runs,Adelaide,"Jan 24, 2004"
556,South Africa,West Indies,South Africa,209 runs,Cape Town,"Jan 25, 2004"
557,Australia,Zimbabwe,Australia,13 runs,Adelaide,"Jan 26, 2004"
558,South Africa,West Indies,South Africa,16 runs,Gqeberha,"Jan 28, 2004"
559,Australia,Zimbabwe,no result,-,Melbourne,"Jan 29, 2004"
560,South Africa,West Indies,no result,-,Durban,"Jan 30, 2004"
561,Australia,India,Australia,5 wickets,Perth,"Feb 1, 2004"
562,South Africa,West Indies,West Indies,7 wickets,Centurion,"Feb 1, 2004"
563,India,Zimbabwe,India,4 wickets,Perth,"Feb 3, 2004"
564,South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Feb 4, 2004"
565,Australia,India,Australia,7 wickets,Melbourne,"Feb 6, 2004"
566,Australia,India,Australia,208 runs,Sydney,"Feb 8, 2004"
567,New Zealand,South Africa,South Africa,5 wickets,Auckland,"Feb 13, 2004"
568,New Zealand,South Africa,New Zealand,5 wickets,Christchurch,"Feb 17, 2004"
569,New Zealand,South Africa,New Zealand,5 runs,Wellington,"Feb 20, 2004"
570,Sri Lanka,Australia,Australia,84 runs,Dambulla,"Feb 20, 2004"
571,Sri Lanka,Australia,Sri Lanka,1 run,Dambulla,"Feb 22, 2004"
572,New Zealand,South Africa,New Zealand,6 wickets,Dunedin,"Feb 25, 2004"
573,Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Feb 25, 2004"
574,Sri Lanka,Australia,Australia,40 runs,Colombo (RPS),"Feb 27, 2004"
575,New Zealand,South Africa,New Zealand,2 runs,Auckland,"Feb 29, 2004"
576,Sri Lanka,Australia,Sri Lanka,3 wickets,Colombo (SSC),"Feb 29, 2004"
577,New Zealand,South Africa,New Zealand,5 wickets,Napier,"Mar 2, 2004"
578,Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare,"Mar 10, 2004"
579,Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare,"Mar 12, 2004"
580,Pakistan,India,India,5 runs,Karachi,"Mar 13, 2004"
581,Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,"Mar 14, 2004"
582,Pakistan,India,Pakistan,12 runs,Rawalpindi,"Mar 16, 2004"
583,Pakistan,India,Pakistan,4 wickets,Peshawar,"Mar 19, 2004"
584,Pakistan,India,India,5 wickets,Lahore,"Mar 21, 2004"
585,Pakistan,India,India,40 runs,Lahore,"Mar 24, 2004"
586,West Indies,England,England,2 wickets,Georgetown,"Apr 18, 2004"
587,Zimbabwe,Sri Lanka,Sri Lanka,12 runs,Bulawayo,"Apr 20, 2004"
588,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,"Apr 22, 2004"
589,West Indies,England,no result,-,Port of Spain,"Apr 24, 2004"
590,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,"Apr 25, 2004"
591,Zimbabwe,Sri Lanka,Sri Lanka,72 runs,Harare,"Apr 27, 2004"
592,Zimbabwe,Sri Lanka,Sri Lanka,25 runs,Harare,"Apr 29, 2004"
593,West Indies,England,West Indies,5 wickets,Gros Islet,"May 1, 2004"
594,West Indies,England,West Indies,4 wickets,Gros Islet,"May 2, 2004"
595,West Indies,England,England,5 wickets,Bridgetown,"May 5, 2004"
596,West Indies,Bangladesh,West Indies,1 wicket,Kingstown,"May 15, 2004"
597,West Indies,Bangladesh,West Indies,23 runs,Kingstown,"May 16, 2004"
598,West Indies,Bangladesh,West Indies,7 wickets,St George's,"May 19, 2004"
599,Zimbabwe,Australia,Australia,7 wickets,Harare,"May 25, 2004"
600,Zimbabwe,Australia,Australia,139 runs,Harare,"May 27, 2004"
601,Zimbabwe,Australia,Australia,8 wickets,Harare,"May 29, 2004"
602,New Zealand,West Indies,no result,-,Birmingham,"Jun 26, 2004"
603,England,West Indies,West Indies,7 wickets,Nottingham,"Jun 27, 2004"
604,England,New Zealand,New Zealand,7 wickets,Chester-le-Street,"Jun 29, 2004"
605,England,West Indies,England,7 wickets,Leeds,"Jul 1, 2004"
606,New Zealand,West Indies,New Zealand,5 wickets,Cardiff,"Jul 3, 2004"
607,England,New Zealand,New Zealand,6 wickets,Bristol,"Jul 4, 2004"
608,England,West Indies,West Indies,7 wickets,Lord's,"Jul 6, 2004"
609,New Zealand,West Indies,no result,-,Southampton,"Jul 8, 2004"
610,New Zealand,West Indies,New Zealand,107 runs,Lord's,"Jul 10, 2004"
611,Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),"Jul 16, 2004"
612,India,U.A.E.,India,116 runs,Dambulla,"Jul 16, 2004"
613,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),"Jul 17, 2004"
614,Sri Lanka,U.A.E.,Sri Lanka,116 runs,Dambulla,"Jul 17, 2004"
615,Hong Kong,Pakistan,Pakistan,173 runs,Colombo (SSC),"Jul 18, 2004"
616,Sri Lanka,India,Sri Lanka,12 runs,Dambulla,"Jul 18, 2004"
617,Bangladesh,India,India,8 wickets,Colombo (SSC),"Jul 21, 2004"
618,Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),"Jul 21, 2004"
619,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),"Jul 23, 2004"
620,India,Pakistan,Pakistan,59 runs,Colombo (RPS),"Jul 25, 2004"
621,Sri Lanka,India,India,4 runs,Colombo (RPS),"Jul 27, 2004"
622,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),"Jul 29, 2004"
623,Sri Lanka,India,Sri Lanka,25 runs,Colombo (RPS),"Aug 1, 2004"
624,Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),"Aug 20, 2004"
625,India,Pakistan,Pakistan,66 runs,Amstelveen,"Aug 21, 2004"
626,Sri Lanka,South Africa,Sri Lanka,37 runs,Colombo (RPS),"Aug 22, 2004"
627,Australia,India,no result,-,Amstelveen,"Aug 23, 2004"
628,Sri Lanka,South Africa,Sri Lanka,4 wickets,Dambulla,"Aug 25, 2004"
629,Sri Lanka,South Africa,Sri Lanka,7 wickets,Dambulla,"Aug 28, 2004"
630,Australia,Pakistan,Australia,17 runs,Amstelveen,"Aug 28, 2004"
631,Sri Lanka,South Africa,Sri Lanka,49 runs,Colombo (SSC),"Aug 31, 2004"
632,England,India,England,7 wickets,Nottingham,"Sep 1, 2004"
633,England,India,England,70 runs,The Oval,"Sep 3, 2004"
634,Australia,Pakistan,Australia,10 runs,Lord's,"Sep 4, 2004"
635,England,India,India,23 runs,Lord's,"Sep 5, 2004"
636,England,Zimbabwe,England,152 runs,Birmingham,"Sep 10-11, 2004"
637,New Zealand,U.S.A.,New Zealand,210 runs,The Oval,"Sep 10, 2004"
638,India,Kenya,India,98 runs,Southampton,"Sep 11, 2004"
639,Bangladesh,South Africa,South Africa,9 wickets,Birmingham,"Sep 12, 2004"
640,Australia,U.S.A.,Australia,9 wickets,Southampton,"Sep 13, 2004"
641,Sri Lanka,Zimbabwe,Sri Lanka,4 wickets,The Oval,"Sep 14, 2004"
642,Kenya,Pakistan,Pakistan,7 wickets,Birmingham,"Sep 14-15, 2004"
643,Bangladesh,West Indies,West Indies,138 runs,Southampton,"Sep 15, 2004"
644,Australia,New Zealand,Australia,7 wickets,The Oval,"Sep 16, 2004"
645,England,Sri Lanka,England,49 runs,Southampton,"Sep 17-18, 2004"
646,South Africa,West Indies,West Indies,5 wickets,The Oval,"Sep 18-19, 2004"
647,India,Pakistan,Pakistan,3 wickets,Birmingham,"Sep 19, 2004"
648,England,Australia,England,6 wickets,Birmingham,"Sep 21, 2004"
649,Pakistan,West Indies,West Indies,7 wickets,Southampton,"Sep 22, 2004"
650,England,West Indies,West Indies,2 wickets,The Oval,"Sep 25, 2004"
651,Pakistan,Zimbabwe,Pakistan,144 runs,Multan,"Sep 30, 2004"
652,Pakistan,Zimbabwe,Pakistan,3 wickets,Peshawar,"Oct 3, 2004"
653,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Oct 6, 2004"
654,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Rawalpindi,"Oct 9, 2004"
655,Pakistan,Sri Lanka,Pakistan,6 wickets,Lahore,"Oct 14, 2004"
656,Pakistan,Sri Lanka,Sri Lanka,119 runs,Lahore,"Oct 16, 2004"
657,Bangladesh,New Zealand,New Zealand,138 runs,Chattogram,"Nov 2, 2004"
658,Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka,"Nov 5, 2004"
659,Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,"Nov 7, 2004"
660,India,Pakistan,Pakistan,6 wickets,Eden Gardens,"Nov 13, 2004"
661,Zimbabwe,England,England,5 wickets,Harare,"Nov 28, 2004"
662,Zimbabwe,England,England,161 runs,Harare,"Dec 1, 2004"
663,Zimbabwe,England,England,8 wickets,Bulawayo,"Dec 4, 2004"
664,Australia,New Zealand,New Zealand,4 wickets,Melbourne (Docklands),"Dec 5, 2004"
665,Zimbabwe,England,England,74 runs,Bulawayo,"Dec 5, 2004"
666,Australia,New Zealand,Australia,17 runs,Sydney,"Dec 8, 2004"
667,Bangladesh,India,India,11 runs,Chattogram,"Dec 23, 2004"
668,New Zealand,Sri Lanka,New Zealand,7 wickets,Auckland,"Dec 26, 2004"
669,Bangladesh,India,Bangladesh,15 runs,Dhaka,"Dec 26, 2004"
670,Bangladesh,India,India,91 runs,Dhaka,"Dec 27, 2004"
671,Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,"Jan 10, 2005"
672,Australia,West Indies,Australia,116 runs,Melbourne,"Jan 14, 2005"
673,Australia,Pakistan,Australia,4 wickets,Hobart,"Jan 16, 2005"
674,Pakistan,West Indies,Pakistan,6 wickets,Brisbane,"Jan 19, 2005"
675,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005"
676,Australia,West Indies,no result,-,Brisbane,"Jan 21, 2005"
677,Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 23, 2005"
